Timezone : Asia/Tokyo,Temperature,Humidity,CO2,Noise,Pressure
2017-1-3,14,43,451,38,1012.4
2017-1-3,13.6,43,442,36,1012.4
2017-1-3,13.4,43,436,36,1012.5
2017-1-3,13.1,43,436,36,1012.6
2017-1-3,13,44,428,36,1012.6
2017-1-3,12.7,44,426,36,1012.8
2017-1-3,12.6,44,416,36,1012.9
2017-1-3,12.4,44,410,38,1012.9
2017-1-3,12.2,44,411,36,1013
2017-1-3,12.1,44,405,36,1013.1
2017-1-3,11.9,44,407,36,1013.1
2017-1-3,11.7,45,403,36,1013.2
2017-1-3,11.5,45,406,36,1013.3
2017-1-3,11.3,45,395,37,1013.4
2017-1-3,11.2,45,387,36,1013.4
2017-1-3,11,45,390,36,1013.5
2017-1-3,10.9,45,377,36,1013.6
2017-1-3,10.7,45,380,36,1013.7
2017-1-3,10.6,46,371,36,1013.9
2017-1-3,10.5,46,374,36,1014
2017-1-3,10.4,46,375,36,1014
2017-1-3,10.3,46,377,36,1014.1
2017-1-3,10.1,46,371,38,1014.2
2017-1-3,10,46,372,36,1014.3
2017-1-3,9.9,46,360,36,1014.3
2017-1-3,9.8,46,367,37,1014.4
2017-1-3,9.7,47,364,40,1014.4
2017-1-3,9.6,47,349,36,1014.4
2017-1-3,9.5,47,359,37,1014.4
2017-1-3,9.4,47,354,37,1014.4
2017-1-3,9.3,47,355,38,1014.5
2017-1-3,9.2,47,348,37,1014.5
2017-1-3,9.2,47,357,36,1014.5
2017-1-3,9,47,346,38,1014.6
2017-1-3,9,47,343,37,1014.8
2017-1-3,8.9,47,334,37,1014.8
2017-1-3,8.8,47,340,37,1014.9
2017-1-3,8.7,48,337,36,1015
2017-1-3,8.7,48,337,36,1015
2017-1-3,8.6,48,341,38,1015.1
2017-1-3,8.5,48,339,38,1015.1
2017-1-3,8.4,48,336,39,1015.2
2017-1-3,8.4,48,328,40,1015.2
2017-1-3,8.3,49,328,39,1015.2
2017-1-3,8.3,49,338,37,1015.2
2017-1-3,8.2,49,333,38,1015.3
